company_name,Annual Sales:,Company Type:,Corporate Family:,Corporate Highlights,D-U-N-S Number,D-U-N-S Number:,Domestic Ultimate D-U-N-S Number,EIN,Employees:,Fax:,Fiscal Year End:,Franchise,Home-Based Business,Import/Export Status,Incorporation Date,Industry:,Key ID Number:,LEI Number:,Manufacturer,Minority Owned,Owns/Rents,Parent D-U-N-S Number,Parent:,Plant/Facility Size (sq,Prescreen Score,Reporting Currency:,State Of Incorporation,Tel:,Total Assets:,Tradestyle,Ultimate Parent D-U-N-S Number,Ultimate Parent:,Women Owned,_id,address,contact,website
"Ramco Enterprises, L.P.",85M,Partnership Parent,6 Companies,, 190546259,19-054-6259,, 770074329,40 (This Site) 3k (All Sites),831-758-3725,,,,, 1985,Crop and Animal Production,99592548,,, True, Owns,,,"{u' ft': {u')': u' 3,200'}}",,USD, California,831-758-5272,15M," Ramco Employment Services, Ramirez Farms",,,,5aac97599f9f5d3a3574ded6,"710 La Guardia St
Salinas, California, 93905-3354
United States
(Primary Address) Show Secondary","[[{u'name': u'Carlos Ramirez', u'industry': u'Crop and Animal Production', u'location': u'Salinas, California, United States', u'position': u'Owner at Ramco Enterprises, L.P.', u'Main': u' 831-758-5272', u'Email': u' carlos@ramcopersonnel.com'}], [{u'position': u'Chief Financing Officer at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Tammy Nunez', u'location': u'Salinas, California, United States'}], [{u'position': u'Director at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Rosa Medina', u'location': u'Salinas, California, United States'}], [{u'position': u'Manager / Director at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Rosa Ramirez', u'location': u'Salinas, California, United States'}], [{u'position': u'Safety Coordinator at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Carlos Marquez', u'location': u'Salinas, California, United States'}], [{u'position': u'Operations Manager at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Martin Orradre', u'location': u'Salinas, California, United States'}], [{u'position': u'Information Technology Manager at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Julie Avila', u'location': u'Salinas, California, United States'}], [{u'name': u'Julie Calahan', u'industry': u'Crop and Animal Production', u'location': u'Salinas, California, United States', u'position': u'Information Technology Manager at Ramco Enterprises, L.P.', u'Main': u' 831-758-5272', u'Email': u' julie.calahan@ramcopersonnel.com'}], [{u'position': u'Network Manager at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Julio Sanchez', u'location': u'Salinas, California, United States'}], [{u'name': u'Ralph Ramirez', u'industry': u'Crop and Animal Production', u'location': u'Salinas, California, United States', u'position': u'Farm Manager at Ramco Enterprises, L.P.', u'Main': u' 831-758-5272', u'Email': u' ralph@ramcopersonnel.com'}], [{u'position': u'Employee Relations / Compliance Specialist at Ramco Enterprises, L.P.', u'industry': u'Crop and Animal Production', u'Main': u' 831-758-5272', u'name': u'Louie Uribe', u'location': u'Salinas, California, United States'}]]",www.ramcoenterpriseslp.com
"Vallarta Supermarkets, Inc.",350M,Private Parent,37 Companies,, 125473202,12-547-3202,, 954704083,100 (This Site) 2.5k (All Sites),818-485-0505,,,,, 1999,Grocery Stores,196525444,,, True, Rents,,,"{u' ft': {u')': u' 24,000'}}",,USD,,818-485-0596,, VALLARTA SUPERMARKETS,,,,5aac97729f9f5d3a3574ded7,"10147 San Fernando Rd
Pacoima, California, 91331-2617
United States","[[{u'position': u'President at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'Miguel Gonzales', u'location': u'Pacoima, California, United States'}], [{u'position': u'Vice President at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'Rodrigo Gonzalez', u'location': u'Pacoima, California, United States'}], [{u'position': u'Vice President at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'Adolfo Molina', u'location': u'Pacoima, California, United States'}], [{u'position': u'Human Resources Benefits Director at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'James Lodenquai', u'location': u'Pacoima, California, United States'}], [{u'position': u'Director Information Technology at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'Jesus Torres', u'location': u'Pacoima, California, United States'}], [{u'position': u'Risk Manager at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'Moses Gonzalez', u'location': u'Pacoima, California, United States'}], [{u'position': u'Buyer at Vallarta Supermarkets, Inc.', u'industry': u'Grocery Stores', u'Main': u' 818-485-0596', u'name': u'John Sellers', u'location': u'Pacoima, California, United States'}]]",
"Ruiz Food Products, Inc.",504M,Private Independent,,, 009476938,00-947-6938,, 941626717,1.8k (This Site) 2.5k (All Sites),559-591-1968,,,,, 1965,Food Manufacturing,100239335,549300MNUNRYUOMQVE55, True, True, Owns,,,"{u' ft': {u')': u' 200,000'}}",,USD, California,559-591-5510,,,,,,5aac97d19f9f5d3a3574ded8,"501 S Alta Ave
Dinuba, California, 93618-2100
United States
(Primary Address) Show Secondary",,www.ruizfoodservice.com
Abacus Service Corporation,,Private Branch,2 Companies,, 055748569,05-574-8569, 179270991, 202060203,300 (This Site),,,,,,,Computer Programming,134569840,,, True,, 179270991,Abacus Service Corporation,"{u' ft': {u')': u' 41,956'}}",,,,916-288-8948,,, 179270991,,,5aac99209f9f5d3e6a0eacca,"1725 23Rd St
Sacramento, California, 95816-7100
United States","[[{u'position': u'Recruiter at Abacus Service Corporation', u'industry': u'Computer Programming', u'Main': u' 916-288-8948', u'name': u'Asher Kumar', u'location': u'Sacramento, California, United States'}]]",www.abacusservice.com
Digital Insight Corporation,,Private Branch,257 Companies,, 043731087,04-373-1087, 001316090, 770493142,118 (This Site),916-921-6605,,,,,,Internet and Web Services,50905873,,,,, 933595886,Digital Insight Corporation,"{u' ft': {u')': u' 25,578'}}",,,,916-561-3500,,, 001316090,NCR Corporation,,5aac99439f9f5d3e6a0eaccb,"1860 Howe Ave Ste 161
Sacramento, California, 95825-1069
United States","[[{u'position': u'Information Technology Director at Digital Insight Corporation', u'industry': u'Internet and Web Services', u'Main': u' 916-561-3500', u'name': u'Alam Atif', u'location': u'Sacramento, California, United States'}], [{u'position': u'Technical Project Manager at Digital Insight Corporation', u'industry': u'Internet and Web Services', u'Main': u' 916-561-3500', u'name': u'Bob Surridge', u'location': u'Sacramento, California, United States'}]]",www.digitalinsight.com
Fdx Advisors Inc.,5.4M,Private Subsidiary,7 Companies,, 009949231,00-994-9231, 948899133, 680129857,54 (This Site) 54 (All Sites),,,,,, 2008,Investment Services,177414924,,,,, 948899133,Actua Corporation,"{u' ft': {u')': u' 6,208'}}",,USD,,916-920-5293,, Foliodynamix, 948899133,,,5aac99649f9f5d3e6a0eaccc,"2399 Gateway Oaks Dr Ste 200
Sacramento, California, 95833-4232
United States","[[{u'position': u'Principal at Fdx Advisors Inc.', u'industry': u'Investment Services', u'Main': u' 916-920-5293', u'name': u'Michael Winkel', u'location': u'Sacramento, California, United States'}], [{u'position': u'Executive Vice President of Services at Fdx Advisors Inc.', u'industry': u'Investment Services', u'Main': u' 916-920-5293', u'name': u'Bob Mehringer', u'location': u'Sacramento, California, United States'}]]",www.foliodynamix.com
Covansys Corporation,,Private Branch,992 Companies,, 154510320,15-451-0320, 080521853, 382606945,50 (This Site),,,,,,,Computer Programming,194751410,,,, Rents, 148693484,CSC Covansys Corporation,"{u' ft': {u')': u' 11,011'}}",,,,916-286-5600,,, 080521853,Dxc Technology Company,,5aac99839f9f5d3e6a0eaccd,"1215 K St Fl 17
Sacramento, California, 95814-3954
United States",,
California Dept of Water Resources,,Private Branch,6717 Companies,, 614684038,61-468-4038, 071549000,,50 (This Site),,,,,,,Internet and Web Services,177400265,,,,, 171214307,California Department of Water Resources,"{u' ft': {u')': u' 16,221'}}",,,,916-324-3812,,, 071549000,State of California,,5aac999e9f9f5d3e6a0eacce,"1416 9Th St Rm 1225
Sacramento, California, 95814-5511
United States",,
"Key Business Solutions, Inc.",6.5M,Private Parent,2 Companies,, 017268033,01-726-8033,,,26 (This Site) 49 (All Sites),,,,,, 1999,Computer Programming,94790739,,, True,,,,"{u' ft': {u')': u' 1,000'}}",,USD, California,916-646-2080,,,,, True,5aac99b89f9f5d3e6a0eaccf,"4738 Duckhorn Dr
Sacramento, California, 95834-2592
United States","[[{u'name': u'Rajan Gutta', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'President at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' rajan@keybusinessglobal.com'}], [{u'name': u'Kumar Kalagara', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Director of Software Services at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' kumar@keybusinessglobal.com'}], [{u'name': u'Naresh Chowdary', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Operational Manager at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' naresh@keybusinessglobal.com'}], [{u'name': u'Rao Kumar', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Talent Acquisition Manager at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' rao@keybusinessglobal.com'}], [{u'name': u'Timothy Lawless', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Business Development Manager at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' tlawless@keybusinessglobal.com'}], [{u'name': u'Malou Catanyag', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Account Manager/technical Recruiter at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' malou@key-soft.com'}], [{u'name': u'Poorna Chowdary', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Sr.Staffing Specialist at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' poorna@key-soft.com'}], [{u'name': u'Preethika Shetty', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'H R Specialist at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' preeti@keybusinessglobal.com'}], [{u'position': u'Accounting / Bookkeeping at Key Business Solutions, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-646-2080', u'name': u'Kyle Shawcroft', u'location': u'Sacramento, California, United States'}], [{u'name': u'Chowdary Lvvr', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Technical Recruiter. at Key Business Solutions, Inc.', u'Main': u' 916-646-2080', u'Email': u' chowdary@key-soft.com'}]]",www.keybusinessglobal.com
"First Corporate Solutions, Inc.",14M,Private Independent,,, 784046310,78-404-6310,, 943185876,4 (This Site) 45 (All Sites),916-441-2217,,,,, 1987,Internet and Web Services,205370107,,,, Rents,,,"{u' ft': {u')': u' 8,600'}}",,USD,,916-558-4988,2M,,,,,5aac99d59f9f5d3e6a0eacd0,"914 S St
Sacramento, California, 95811-7025
United States",,www.ficoso.com
